Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::floor_divide_         0.23%      41.895ms         0.36%      64.573ms     645.728us      39.378ms         0.22%      62.386ms     623.863us           0 b           0 b           0 b           0 b           100  
                    aten::_log_softmax         0.27%      49.128ms         0.34%      61.674ms     616.745us      60.986ms         0.34%      60.986ms     609.855us           0 b           0 b       7.28 Mb           0 b           100  
                       aten::ones_like         0.12%      22.027ms         0.32%      57.512ms     575.123us      36.517ms         0.20%      57.172ms     571.719us           0 b           0 b      50.00 Kb           0 b           100  
                       aten::remainder         0.24%      43.964ms         0.31%      55.611ms     556.111us      56.528ms         0.31%      56.528ms     565.284us           0 b           0 b     150.00 Kb           0 b           100  
      aten::_log_softmax_backward_data         0.23%      41.876ms         0.30%      53.689ms     536.894us      52.199ms         0.29%      52.199ms     521.994us           0 b           0 b       7.28 Mb           0 b           100  
             aten::_local_scalar_dense         0.20%      36.335ms         0.20%      36.335ms     121.115us      37.659ms         0.21%      37.659ms     125.529us           0 b           0 b           0 b           0 b           300  
                        aten::can_cast         0.19%      35.240ms         0.19%      35.240ms     117.468us      36.581ms         0.20%      36.581ms     121.937us           0 b           0 b           0 b           0 b           300  
                           aten::alias         0.20%      36.652ms         0.20%      36.652ms     122.173us      34.020ms         0.19%      34.020ms     113.401us           0 b           0 b           0 b           0 b           300  
                          AddBackward0         0.18%      31.989ms         0.18%      31.989ms     106.631us      29.806ms         0.16%      29.806ms      99.354us           0 b           0 b           0 b           0 b           300  
                    aten::floor_divide         0.12%      22.678ms         0.12%      22.678ms     226.779us      23.009ms         0.13%      23.009ms     230.086us           0 b           0 b           0 b           0 b           100  
                      aten::zeros_like         0.01%       2.650ms         0.05%       9.639ms     803.225us       3.168ms         0.02%      10.019ms     834.906us           0 b           0 b       2.87 Mb           0 b            12  
                          aten::detach         0.01%       1.157ms         0.01%       1.749ms     291.450us       1.176ms         0.01%       1.746ms     291.021us           0 b           0 b           0 b           0 b             6  
                                detach         0.00%     591.400us         0.00%     591.400us      98.567us     569.844us         0.00%     569.844us      94.974us           0 b           0 b           0 b           0 b             6  
                              [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -3.40 Gb      -3.40 Gb          5400  
                           aten::empty         5.33%     968.377ms         5.33%     968.377ms      91.356us       0.000us         0.00%       0.000us       0.000us       3.91 Kb       3.91 Kb       5.31 Gb       5.31 Gb         10600  
                      aten::as_strided         0.61%     110.596ms         0.61%     110.596ms       9.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         11200  
                         aten::resize_         2.06%     373.589ms         2.06%     373.589ms     113.209us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.61 Gb       1.61 Gb          3300  
                       aten::unsqueeze         0.12%      21.714ms         0.16%      28.316ms      47.193us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           600  
                          aten::expand         0.13%      22.725ms         0.19%      35.032ms      29.194us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1200  
                           aten::slice         0.08%      13.843ms         0.09%      16.827ms      56.089us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           300  
                               aten::t         0.15%      26.670ms         0.27%      49.785ms      29.285us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1700  
                       aten::transpose         0.06%      11.660ms         0.13%      23.115ms      13.597us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1700  
                            aten::view         0.15%      26.800ms         0.15%      26.800ms      12.762us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2100  
                      aten::empty_like         0.02%       4.315ms         0.34%      61.879ms     120.857us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      17.76 Mb           0 b           512  
                   aten::empty_strided         0.07%      12.586ms         0.07%      12.586ms     112.373us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.92 Mb       2.92 Mb           112  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 18.162s
Self CUDA time total: 18.093s

Accuracy: 0.7700
Accuracy: 0.7540
