Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            aten::set_         1.63%     247.314ms         1.63%     247.314ms     164.876us     245.619ms         1.64%     245.619ms     163.746us           0 b           0 b           0 b           0 b          1500  
                             aten::min         0.97%     146.452ms         1.54%     234.152ms     780.505us     231.022ms         1.54%     231.022ms     770.072us           0 b           0 b     300.00 Kb           0 b           300  
                       aten::clamp_min         0.94%     142.184ms         1.40%     212.415ms     354.024us     215.558ms         1.44%     215.558ms     359.263us           0 b           0 b       6.45 Mb           0 b           600  
                             aten::any         0.94%     142.104ms         1.22%     184.872ms     616.241us     187.240ms         1.25%     187.240ms     624.132us           0 b           0 b     150.00 Kb           0 b           300  
                             aten::add         1.14%     173.041ms         1.14%     173.041ms     576.804us     175.590ms         1.17%     175.590ms     585.301us           0 b           0 b     304.79 Mb     304.79 Mb           300  
                            aten::relu         0.61%      92.934ms         1.09%     165.034ms     825.168us      94.563ms         0.63%     166.833ms     834.167us           0 b           0 b     297.51 Mb           0 b           200  
                         ReluBackward0         0.28%      42.007ms         1.02%     154.077ms     770.384us      40.691ms         0.27%     151.935ms     759.675us           0 b           0 b     297.51 Mb           0 b           200  
                         aten::addcdiv         0.92%     140.139ms         0.92%     140.139ms     233.565us     143.149ms         0.96%     143.149ms     238.582us           0 b           0 b           0 b           0 b           600  
                         aten::addcmul         0.93%     141.036ms         0.93%     141.036ms     235.060us     138.316ms         0.92%     138.316ms     230.527us           0 b           0 b           0 b           0 b           600  
                         aten::reshape         0.71%     107.369ms         0.81%     122.428ms     136.031us     121.776ms         0.81%     121.776ms     135.307us           0 b           0 b           0 b           0 b           900  
                       aten::new_zeros         0.13%      20.288ms         0.73%     111.455ms       1.115ms      19.215ms         0.13%     112.837ms       1.128ms           0 b           0 b       7.28 Mb           0 b           100  
              aten::threshold_backward         0.59%      89.066ms         0.74%     112.070ms     560.348us     111.244ms         0.74%     111.244ms     556.220us           0 b           0 b     297.51 Mb           0 b           200  
                            aten::conj         0.69%     104.016ms         0.69%     104.016ms     104.016us     107.197ms         0.72%     107.197ms     107.197us           0 b           0 b           0 b           0 b          1000  
