Epoch: 092, Train: 0.9786, Val: 0.8020, Test: 0.8170
Epoch: 093, Train: 0.9786, Val: 0.8020, Test: 0.8170
Epoch: 094, Train: 0.9786, Val: 0.8020, Test: 0.8170
Epoch: 095, Train: 0.9786, Val: 0.8020, Test: 0.8170
Epoch: 096, Train: 0.9786, Val: 0.8020, Test: 0.8170
Epoch: 097, Train: 0.9786, Val: 0.8020, Test: 0.8170
Epoch: 098, Train: 0.9786, Val: 0.8020, Test: 0.8170
Epoch: 099, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 100, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 101, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 102, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 103, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 104, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 105, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 106, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 107, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 108, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 109, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 110, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 111, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 112, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 113, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 114, Train: 0.9857, Val: 0.8020, Test: 0.8170
Epoch: 115, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 116, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 117, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 118, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 119, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 120, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 121, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 122, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 123, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 124, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 125, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 126, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 127, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 128, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 129, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 130, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 131, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 132, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 133, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 134, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 135, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 136, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 137, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 138, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 139, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 140, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 141, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 142, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 143, Train: 0.9857, Val: 0.8060, Test: 0.8110
Epoch: 144, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 145, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 146, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 147, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 148, Train: 0.9929, Val: 0.8060, Test: 0.8110
Epoch: 149, Train: 0.9929, Val: 0.8060, Test: 0.8110
