Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::view         0.16%     120.100us         0.16%     120.100us      20.017us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 74.794ms
Self CUDA time total: 72.492ms

-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::index        10.99%      11.973ms        34.47%      37.559ms       2.504ms      13.698ms        12.63%      37.367ms       2.491ms           0 b           0 b     931.50 Kb    -495.00 Kb            15  
                aten::nonzero        13.69%      14.923ms        18.18%      19.816ms       2.202ms      16.412ms        15.13%      19.974ms       2.219ms           0 b           0 b     495.00 Kb           0 b             9  
                 aten::select         8.73%       9.509ms         8.99%       9.793ms     326.443us      10.003ms         9.22%      10.003ms     333.426us           0 b           0 b           0 b           0 b            30  
                     aten::eq         3.25%       3.543ms         7.51%       8.181ms       1.364ms       4.027ms         3.71%       8.186ms       1.364ms           0 b           0 b      18.00 Kb           0 b             6  
                    aten::mul         4.20%       4.572ms         5.20%       5.670ms     629.978us       6.491ms         5.98%       6.491ms     721.253us           0 b           0 b      15.23 Mb           0 b             9  
                    aten::cat         2.91%       3.173ms         5.25%       5.721ms     953.467us       3.169ms         2.92%       5.716ms     952.742us           0 b           0 b     778.50 Kb           0 b             6  
                 aten::repeat         2.62%       2.850ms         5.25%       5.716ms       1.905ms       3.318ms         3.06%       5.709ms       1.903ms           0 b           0 b     127.50 Kb           0 b             3  
                  aten::zeros         1.45%       1.576ms         5.02%       5.471ms     911.817us       2.340ms         2.16%       5.457ms     909.531us           0 b           0 b       3.44 Mb           0 b             6  
                     aten::ne         2.20%       2.399ms         3.72%       4.051ms     675.100us       3.102ms         2.86%       4.959ms     826.528us           0 b           0 b      63.00 Kb           0 b             6  
            aten::bitwise_not         2.25%       2.450ms         4.52%       4.923ms     820.533us       2.914ms         2.69%       4.926ms     821.017us           0 b           0 b      63.00 Kb           0 b             6  
                   aten::pow_         2.66%       2.903ms         4.50%       4.899ms       1.633ms       2.519ms         2.32%       4.543ms       1.514ms           0 b           0 b           0 b           0 b             3  
           aten::scatter_add_         3.08%       3.357ms         3.19%       3.471ms     578.517us       3.947ms         3.64%       3.947ms     657.846us           0 b           0 b           0 b           0 b             6  
                  aten::fill_         3.61%       3.937ms         3.61%       3.937ms     328.125us       3.923ms         3.62%       3.923ms     326.887us           0 b           0 b           0 b           0 b            12  
                   aten::set_         3.29%       3.586ms         3.29%       3.586ms     398.489us       3.562ms         3.28%       3.562ms     395.754us           0 b           0 b           0 b           0 b             9  
                  aten::zero_         1.42%       1.544ms         2.87%       3.127ms     521.183us       1.540ms         1.42%       3.117ms     519.502us           0 b           0 b           0 b           0 b             6  
                 aten::arange         1.35%       1.472ms         2.92%       3.183ms     530.417us       1.899ms         1.75%       3.071ms     511.796us           0 b           0 b     129.00 Kb           0 b             6  
                   aten::full         0.79%     858.100us         2.70%       2.944ms     981.267us       1.288ms         1.19%       2.943ms     981.161us           0 b           0 b      33.00 Kb           0 b             3  
                 aten::matmul         0.71%     775.600us         2.77%       3.019ms       1.006ms     616.555us         0.57%       2.913ms     971.116us           0 b           0 b       3.05 Mb           0 b             3  
                   aten::_cat         1.57%       1.713ms         2.34%       2.548ms     424.617us       2.547ms         2.35%       2.547ms     424.520us           0 b           0 b     778.50 Kb           0 b             6  
